race_id,circuit_name,race_name,unfiltered_race_date,race_date
101,Circuit de Barcelona-Catalunya,FORMULA 1 EMIRATES GRAN PREMIO DE, 12 May 2019,2019-05-12
102,Baku City Circuit,FORMULA 1 SOCAR AZERBAIJAN GRAND PRIX , 28 Apr 2019,2019-04-28
103,Shanghai International Circuit,FORMULA 1 HEINEKEN CHINESE GRAND PRIX , 14 Apr 2019,2019-04-14
104,Bahrain International Circuit,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX , 31 Mar 2019,2019-03-31
105,Albert Park Grand Prix Circuit,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX , 17 Mar 2019,2019-03-17
106,Yas Marina Circuit,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX , 25 Nov 2018,2018-11-25
107,Autódromo José Carlos Pace,FORMULA 1 GRANDE PRÃŠMIO HEINEKEN DO BRASIL , 11 Nov 2018,2018-11-11
108,Autódromo Hermanos Rodríguez,FORMULA 1 GRAN PREMIO DE MÃ‰XICO , 28 Oct 2018,2018-10-28
109,Circuit of The Americas,FORMULA 1 PIRELLI UNITED STATES GRAND PRIX , 21 Oct 2018,2018-10-21
110,Suzuka Circuit,FORMULA 1 HONDA JAPANESE GRAND PRIX , 07 Oct 2018,2018-10-07
111,Sochi Autodrom,FORMULA 1 VTB RUSSIAN GRAND PRIX , 30 Sep 2018,2018-09-30
112,Marina Bay Street Circuit,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX , 16 Sep 2018,2018-09-16
113,Autodromo Nazionale Monza,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA , 02 Sep 2018,2018-09-02
114,Circuit de Spa-Francorchamps,FORMULA 1 JOHNNIE WALKER BELGIAN GRAND PRIX , 26 Aug 2018,2018-08-26
115,Hungaroring,FORMULA 1 ROLEX MAGYAR NAGYDÃJ , 29 Jul 2018,2018-07-29
116,Hockenheimring,FORMULA 1 EMIRATES GROSSER PREIS VON DEUTSCHLAND , 22 Jul 2018,2018-07-22
117,Silverstone Circuit,FORMULA 1 ROLEX BRITISH GRAND PRIX , 08 Jul 2018,2018-07-08
118,Red Bull Ring,FORMULA 1 EYETIME GROSSER PREIS VON STERREICH , 01 Jul 2018,2018-07-01
119,Circuit Paul Ricard,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE , 24 Jun 2018,2018-06-24
120,Circuit Gilles-Villeneuve,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA , 10 Jun 2018,2018-06-10
121,Circuit de Monaco,FORMULA 1 GRAND PRIX DE MONACO , 27 May 2018,2018-05-27
122,Circuit de Barcelona-Catalunya,FORMULA 1 GRAN PREMIO DEEMIRATES , 13 May 2018,2018-05-13
123,Baku City Circuit,FORMULA 1 AZERBAIJAN GRAND PRIX , 29 Apr 2018,2018-04-29
124,Shanghai International Circuit,FORMULA 1 HEINEKEN CHINESE GRAND PRIX , 15 Apr 2018,2018-04-15
125,Bahrain International Circuit,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX , 08 Apr 2018,2018-04-08
126,Albert Park Grand Prix Circuit,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX , 25 Mar 2018,2018-03-25
127,Yas Marina Circuit,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX , 26 Nov 2017,2017-11-26
128,Autódromo José Carlos Pace,FORMULA 1 GRANDE PRÃŠMIO HEINEKEN DO BRASIL , 12 Nov 2017,2017-11-12
129,Autódromo Hermanos Rodríguez,FORMULA 1 GRAN PREMIO DE MÃ‰XICO , 29 Oct 2017,2017-10-29
130,Circuit of The Americas,FORMULA 1 UNITED STATES GRAND PRIX , 22 Oct 2017,2017-10-22
131,Suzuka Circuit,FORMULA 1 JAPANESE GRAND PRIX , 08 Oct 2017,2017-10-08
132,Sepang International Circuit,FORMULA 1 PETRONAS MALAYSIA GRAND PRIX , 01 Oct 2017,2017-10-01
133,Marina Bay Street Circuit,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX , 17 Sep 2017,2017-09-17
134,Autodromo Nazionale Monza,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA , 03 Sep 2017,2017-09-03
135,Circuit de Spa-Francorchamps,FORMULA 1 PIRELLI BELGIAN GRAND PRIX , 27 Aug 2017,2017-08-27
136,Hungaroring,FORMULA 1 PIRELLI MAGYAR NAGYDÃJ , 30 Jul 2017,2017-07-30
137,Silverstone Circuit,FORMULA 1 ROLEX BRITISH GRAND PRIX , 16 Jul 2017,2017-07-16
138,Red Bull Ring,FORMULA 1 GROSSER PREIS VON , 09 Jul 2017,2017-07-09
139,Baku City Circuit,FORMULA 1 AZERBAIJAN GRAND PRIX , 25 Jun 2017,2017-06-25
140,Circuit Gilles-Villeneuve,FORMULA 1 GRAND PRIX DU CANADA , 11 Jun 2017,2017-06-11
141,Circuit de Monaco,FORMULA 1 GRAND PRIX DE MONACO , 28 May 2017,2017-05-28
142,Circuit de Barcelona-Catalunya,FORMULA 1 GRAN PREMIO DE PIRELLI , 14 May 2017,2017-05-14
143,Sochi Autodrom,FORMULA 1 VTB RUSSIAN GRAND PRIX , 30 Apr 2017,2017-04-30
144,Bahrain International Circuit,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX , 16 Apr 2017,2017-04-16
145,Shanghai International Circuit,FORMULA 1 HEINEKEN CHINESE GRAND PRIX , 09 Apr 2017,2017-04-09
146,Albert Park Grand Prix Circuit,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX , 26 Mar 2017,2017-03-26
147,Yas Marina Circuit,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX , 27 Nov 2016,2016-11-27
148,Autódromo José Carlos Pace,FORMULA 1 GRANDE PRÃŠMIO DO BRASIL , 13 Nov 2016,2016-11-13
149,Autódromo Hermanos Rodríguez,FORMULA 1 GRAN PREMIO DE MÃ‰XICO , 30 Oct 2016,2016-10-30
150,Circuit of The Americas,FORMULA 1 UNITED STATES GRAND PRIX , 23 Oct 2016,2016-10-23
151,Suzuka Circuit,FORMULA 1 EMIRATES JAPANESE GRAND PRIX , 09 Oct 2016,2016-10-09
