race_id,circuit_name,race_name,unfiltered_race_date,race_date
269,Autodromo Nazionale Monza,FORMULA 1 GRAN PREMIO SANTANDER D'ITALIA ,12-09-2010,2010-09-12
270,Circuit de Spa-Francorchamps,FORMULA 1 BELGIAN GRAND PRIX ,29-08-2010,2010-08-29
271,Hungaroring,FORMULA 1 ENI MAGYAR NAGYDÃJ ,01-08-2010,2010-08-01
272,Hockenheimring,FORMULA 1 GROSSER PREIS SANTANDER VON DEUTSCHLAND ,25-07-2010,2010-07-25
273,Silverstone Circuit,FORMULA 1 SANTANDER BRITISH GRAND PRIX ,11-07-2010,2010-07-11
274,Valencia Street Circuit,FORMULA 1 TELEFÃ“NICA GRAND PRIX OF EUROPE ,27-06-2010,2010-06-27
275,Circuit Gilles-Villeneuve,FORMULA 1 GRAND PRIX DU CANADA ,13-06-2010,2010-06-13
276,Intercity Istanbul Park,FORMULA 1 TURKISH GRAND PRIX ,30-05-2010,2010-05-30
277,Circuit de Monaco,FORMULA 1 GRAND PRIX DE MONACO ,16-05-2010,2010-05-16
278,Circuit de Barcelona-Catalunya,FORMULA 1 GRAN PREMIO,09-05-2010,2010-05-09
279,Shanghai International Circuit,FORMULA 1 CHINESE GRAND PRIX ,18-04-2010,2010-04-18
280,Sepang International Circuit,FORMULA 1 PETRONAS MALAYSIAN GRAND PRIX ,04-04-2010,2010-04-04
281,Albert Park Grand Prix Circuit,FORMULA 1 QANTAS AUSTRALIAN GRAND PRIX ,28-03-2010,2010-03-28
282,Bahrain International Circuit,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX ,14-03-2010,2010-03-14
283,Yas Marina Circuit,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX ,01-11-2009,2009-11-01
284,Autódromo José Carlos Pace,FORMULA 1 GRANDE PRÃŠMIO PETROBRAS DO BRASIL ,18-10-2009,2009-10-18
285,Suzuka Circuit,FORMULA 1 FUJI TELEVISION JAPANESE GRAND PRIX ,04-10-2009,2009-10-04
286,Marina Bay Street Circuit,FORMULA 1 SINGTEL SINGAPORE GRAND PRIX ,27-09-2009,2009-09-27
287,Autodromo Nazionale Monza,FORMULA 1 GRAN PREMIO SANTANDER D'ITALIA ,13-09-2009,2009-09-13
288,Circuit de Spa-Francorchamps,FORMULA 1 ING BELGIAN GRAND PRIX ,30-08-2009,2009-08-30
289,Valencia Street Circuit,FORMULA 1 TELEFÃ“NICA GRAND PRIX OF EUROPE ,23-08-2009,2009-08-23
290,Hungaroring,FORMULA 1 ING MAGYAR NAGYDÃJ ,26-07-2009,2009-07-26
291,Nürburgring,FORMULA 1 GROSSER PREIS SANTANDER VON DEUTSCHLAND ,12-07-2009,2009-07-12
292,Silverstone Circuit,FORMULA 1 SANTANDER BRITISH GRAND PRIX ,21-06-2009,2009-06-21
293,Intercity Istanbul Park,FORMULA 1 ING TURKISH GRAND PRIX ,07-06-2009,2009-06-07
294,Circuit de Monaco,FORMULA 1 GRAND PRIX DE MONACO ,24-05-2009,2009-05-24
295,Circuit de Barcelona-Catalunya,FORMULA 1 GRAN PREMIO,10-05-2009,2009-05-10
296,Bahrain International Circuit,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX ,26-04-2009,2009-04-26
297,Shanghai International Circuit,FORMULA 1 CHINESE GRAND PRIX ,19-04-2009,2009-04-19
298,Sepang International Circuit,FORMULA 1 PETRONAS MALAYSIAN GRAND PRIX ,05-04-2009,2009-04-05
299,Albert Park Grand Prix Circuit,FORMULA 1 ING AUSTRALIAN GRAND PRIX ,29-03-2009,2009-03-29
300,Autódromo José Carlos Pace,FORMULA 1 GRANDE PRÃŠMIO DO BRASIL ,02-11-2008,2008-11-02
301,Shanghai International Circuit,FORMULA 1 SINOPEC CHINESE GRAND PRIX ,19-10-2008,2008-10-19
302,Fuji Speedway,FORMULA 1 FUJI TELEVISION JAPANESE GRAND PRIX ,12-10-2008,2008-10-12
303,Marina Bay Street Circuit,FORMULA 1 SINGTEL SINGAPORE GRAND PRIX ,28-09-2008,2008-09-28
304,Autodromo Nazionale Monza,FORMULA 1 GRAN PREMIO SANTANDER D'ITALIA ,14-09-2008,2008-09-14
305,Circuit de Spa-Francorchamps,FORMULA 1 ING BELGIAN GRAND PRIX ,07-09-2008,2008-09-07
306,Valencia Street Circuit,FORMULA 1 TELEFÃ“NICA GRAND PRIX OF EUROPE ,24-08-2008,2008-08-24
307,Hungaroring,FORMULA 1 ING MAGYAR NAGYDÃJ ,03-08-2008,2008-08-03
308,Hockenheimring,FORMULA 1 GROSSER PREIS SANTANDER VON DEUTSCHLAND ,20-07-2008,2008-07-20
309,Silverstone Circuit,FORMULA 1 SANTANDER BRITISH GRAND PRIX ,06-07-2008,2008-07-06
310,Circuit de Nevers Magny-Cours,FORMULA 1 GRAND PRIX DE FRANCE ,22-06-2008,2008-06-22
311,Circuit Gilles-Villeneuve,FORMULA 1 GRAND PRIX DU CANADA ,08-06-2008,2008-06-08
312,Circuit de Monaco,FORMULA 1 GRAND PRIX DE MONACO ,25-05-2008,2008-05-25
313,Intercity Istanbul Park,FORMULA 1 PETROL OFISI TURKISH GRAND PRIX ,11-05-2008,2008-05-11
314,Circuit de Barcelona-Catalunya,FORMULA 1 GRAN PREMIO,27-04-2008,2008-04-27
315,Bahrain International Circuit,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX ,06-04-2008,2008-04-06
316,Sepang International Circuit,FORMULA 1 PETRONAS MALAYSIAN GRAND PRIX ,23-03-2008,2008-03-23
317,Albert Park Grand Prix Circuit,FORMULA 1 ING AUSTRALIAN GRAND PRIX ,16-03-2008,2008-03-16
318,Autódromo José Carlos Pace,FORMULA 1 GRANDE PRÃŠMIO DO BRASIL ,21-10-2007,2007-10-21
319,Shanghai International Circuit,FORMULA 1 SINOPEC CHINESE GRAND PRIX ,07-10-2007,2007-10-07
320,Fuji Speedway,FORMULA 1 FUJI TELEVISION JAPANESE GRAND PRIX ,30-09-2007,2007-09-30
321,Circuit de Spa-Francorchamps,FORMULA 1 ING BELGIAN GRAND PRIX ,16-09-2007,2007-09-16
322,Autodromo Nazionale Monza,FORMULA 1 GRAN PREMIO D'ITALIA ,09-09-2007,2007-09-09
323,Intercity Istanbul Park,FORMULA 1 PETROL OFISI TURKISH GRAND PRIX ,26-08-2007,2007-08-26
324,Hungaroring,FORMULA 1 MAGYAR NAGYDÃJ ,05-08-2007,2007-08-05
325,Nürburgring,FORMULA 1 GRAND PRIX OF EUROPE ,22-07-2007,2007-07-22
326,Silverstone Circuit,FORMULA 1 SANTANDER BRITISH GRAND PRIX ,08-07-2007,2007-07-08
327,Circuit de Nevers Magny-Cours,FORMULA 1 GRAND PRIX DE FRANCE ,01-07-2007,2007-07-01
328,Indianapolis Motor Speedway,FORMULA 1 UNITED STATES GRAND PRIX ,17-06-2007,2007-06-17
329,Circuit Gilles-Villeneuve,FORMULA 1 GRAND PRIX DU CANADA ,10-06-2007,2007-06-10
330,Circuit de Monaco,FORMULA 1 GRAND PRIX DE MONACO ,27-05-2007,2007-05-27
331,Circuit de Barcelona-Catalunya,FORMULA 1 GRAN PREMIO ,13-05-2007,2007-05-13
332,Bahrain International Circuit,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX ,15-04-2007,2007-04-15
333,Sepang International Circuit,FORMULA 1 PETRONAS MALAYSIAN GRAND PRIX ,08-04-2007,2007-04-08
334,Albert Park Grand Prix Circuit,FORMULA 1 ING AUSTRALIAN GRAND PRIX ,18-03-2007,2007-03-18
335,Autódromo José Carlos Pace,FORMULA 1 GRANDE PRÃŠMIO DO BRASIL ,22-10-2006,2006-10-22
336,Suzuka Circuit,FORMULA 1 FUJI TELEVISION JAPANESE GRAND PRIX ,08-10-2006,2006-10-08
337,Shanghai International Circuit,FORMULA 1 SINOPEC CHINESE GRAND PRIX ,01-10-2006,2006-10-01
338,Autodromo Nazionale Monza,FORMULA 1 GRAN PREMIO VODAFONE D'ITALIA ,10-09-2006,2006-09-10
339,Intercity Istanbul Park,FORMULA 1 PETROL OFISI TURKISH GRAND PRIX ,27-08-2006,2006-08-27
340,Hungaroring,FORMULA 1 MAGYAR NAGYDÃJ ,06-08-2006,2006-08-06
341,Hockenheimring,FORMULA 1 GROSSER MOBIL 1 PREIS VON DEUTSCHLAND ,30-07-2006,2006-07-30
342,Circuit de Nevers Magny-Cours,FORMULA 1 GRAND PRIX DE FRANCE ,16-07-2006,2006-07-16
343,Indianapolis Motor Speedway,FORMULA 1 UNITED STATES GRAND PRIX ,02-07-2006,2006-07-02
344,Circuit Gilles-Villeneuve,FORMULA 1 GRAND PRIX DU CANADA ,25-06-2006,2006-06-25
345,Silverstone Circuit,FORMULA 1 FOSTER'S BRITISH GRAND PRIX ,11-06-2006,2006-06-11
346,Circuit de Monaco,FORMULA 1 GRAND PRIX DE MONACO ,28-05-2006,2006-05-28
347,Circuit de Barcelona-Catalunya,FORMULA 1 GRAN PREMIO ,14-05-2006,2006-05-14
348,Nürburgring,FORMULA 1 GRAND PRIX OF EUROPE ,07-05-2006,2006-05-07
349,Autodromo Internazionale Enzo e Dino Ferrari,FORMULA 1 GRAN PREMIO SAN MARINO ,23-04-2006,2006-04-23
350,Albert Park Grand Prix Circuit,FORMULA 1 FOSTER'S AUSTRALIAN GRAND PRIX ,02-04-2006,2006-04-02
351,Sepang International Circuit,FORMULA 1 PETRONAS MALAYSIAN GRAND PRIX ,19-03-2006,2006-03-19
352,Bahrain International Circuit,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX ,12-03-2006,2006-03-12
353,Shanghai International Circuit,FORMULA 1 SINOPEC CHINESE GRAND PRIX ,16-10-2005,2005-10-16
354,Suzuka Circuit,FORMULA 1 FUJI TELEVISION JAPANESE GRAND PRIX ,09-10-2005,2005-10-09
355,Autódromo José Carlos Pace,FORMULA 1 GRAN PRÃŠMIO DO BRASIL ,25-09-2005,2005-09-25
356,Circuit de Spa-Francorchamps,FORMULA 1 BELGIAN GRAND PRIX ,11-09-2005,2005-09-11
357,Autodromo Nazionale Monza,FORMULA 1 GRAN PREMIO VODAFONE D'ITALIA ,04-09-2005,2005-09-04
358,Intercity Istanbul Park,FORMULA 1 TURKISH GRAND PRIX ,21-08-2005,2005-08-21
359,Hungaroring,FORMULA 1 MARLBORO MAGYAR NAGYDÃJ ,31-07-2005,2005-07-31
360,Hockenheimring,FORMULA 1 GROSSER MOBIL 1 PREIS VON DEUTSCHLAND ,24-07-2005,2005-07-24
361,Silverstone Circuit,FORMULA 1 FOSTER'S BRITISH GRAND PRIX ,10-07-2005,2005-07-10
362,Circuit de Nevers Magny-Cours,FORMULA 1 GRAND PRIX DE FRANCE ,03-07-2005,2005-07-03
363,Indianapolis Motor Speedway,FORMULA 1 UNITED STATES GRAND PRIX ,19-06-2005,2005-06-19
364,Circuit Gilles-Villeneuve,FORMULA 1 GRAND PRIX DU CANADA ,12-06-2005,2005-06-12
365,Nürburgring,FORMULA 1 GRAND PRIX OF EUROPE ,29-05-2005,2005-05-29
366,Circuit de Monaco,FORMULA 1 GRAND PRIX DE MONACO ,22-05-2005,2005-05-22
367,Circuit de Barcelona-Catalunya,FORMULA 1 GRAN PREMIO MARLBORO DE,08-05-2005,2005-05-08
368,Autodromo Internazionale Enzo e Dino Ferrari,FORMULA 1 GRAN PREMIO FOSTER'S DI SAN MARINO ,24-04-2005,2005-04-24
369,Bahrain International Circuit,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX ,03-04-2005,2005-04-03
370,Sepang International Circuit,FORMULA 1 PETRONAS MALAYSIAN GRAND PRIX ,20-03-2005,2005-03-20
371,Albert Park Grand Prix Circuit,FORMULA 1 FOSTER'S AUSTRALIAN GRAND PRIX ,06-03-2005,2005-03-06
